,Train acc,Dev acc,Bias,Variance
dummy-classifier,74.8,74.7,25.2,0.2
baseline-2021-06-08,90.7,86.1,9.3,4.6
baseline-2021-06-09,99.7,86.1,0.3,13.6
baseline-Adam-2021-06-11,99.8,87,0.2,12.9
Adam_wd=1e-08_2021-06-11,99.8,86.7,0.2,13.2
Adam_wd=0.0001_2021-06-11,99.8,86.9,0.2,13
Adam_wd=0.01_2021-06-11,99.7,86.9,0.3,12.8
Adam_wd=1_2021-06-11,99.6,86.5,0.4,13.1
Adam_wd=10_2021-06-11,93.9,85.7,6.1,8.2
Adam_wd=100_2021-06-11,76.2,76.4,23.8,-0.2
strong-aug-Adam-2021-06-14,95.7,86.4,4.3,9.3
strong-aug-longer-Adam-2021-06-14,98.1,86.5,1.9,11.6
strong-aug-even-longer-Adam-2021-06-14,98.8,87.1,1.2,11.7
strong-aug-not-so-long-Adam-2021-06-14,97.3,87.3,2.7,9.9
strong-aug-not-so-long-Adam_wd=0.01_2021-06-14,97.5,86.7,2.5,10.8
strong-aug-not-so-long-Adam_wd=0.1_2021-06-14,97.5,86.3,2.5,11.3
strong-aug-not-so-long-Adam_wd=1_2021-06-14,97.1,86.6,2.9,10.5
resnet18-strong-aug-Adam-last-layer-finetuned,83.9,85.3,16.1,-1.3
strong-aug-not-so-long-Adam_wd=10_2021-06-14,92.7,86.8,7.3,5.9
strong-aug-not-so-long-Adam_wd=20_2021-06-14,90,86.9,10,3
strong-aug-not-so-long-Adam_wd=40_2021-06-14,87.6,86.3,12.4,1.4
resnet18_2-layer-head_strong-aug_Adam_last-2-layers-finetuned,84.9,85.4,15.1,-0.5
2-layer-head-baseline-2021-06-16,97.6,86.5,2.4,11.1
2-layer-head_dropout=0.5_2021-06-16,95.6,86.6,4.4,8.9
2-layer-head_dropout=0.8_2021-06-16,90.5,86.7,9.5,3.8
2-layer-head_dropout=0.8_wd=0.1_2021-06-16,91.4,87.5,8.6,3.9
2-layer-head_dropout=0.5_wd=0.2_2021-06-16,95.8,86.8,4.2,9
2-layer-head_dropout=0.5_wd=1_2021-06-16,95.4,86.9,4.6,8.5
2-layer-head_dropout=0.8_wd=1_2021-06-16,91.6,86.3,8.4,5.3
efficientnet-b2_1-layer-head-finetuned,84.7,82.5,15.3,2.2
efficientnet-b2_baseline_2021-06-17,93.5,86.5,6.5,7
efficientnet-b3_1-layer-head-finetuned,84.6,81.5,15.4,3.1
efficientnet-b3_baseline_2021-06-17,96.3,86.3,3.7,10
efficientnet-b3_2-layer-head-finetuned,84.5,83,15.5,1.5
efficientnet-b3_2-layer-head_p=0.8_2021-06-17,88.3,86.1,11.7,2.2
